observation_id,series_id,year,period,amount_m,status,budget_basis,coverage_id,segment,source_id,locator,selected,real_amount_m,sector,measure,learners,learner_unit,enrolment_status,financial_segment,enrolment_segment,real_per_learner,gap_reason,denominator_id,learner_source_id,note
postsec_grants_2016_ar2017,postsec_operating_grants,2016,2016-17,2325.794000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2015_2016,ae_ar_2017,"PDF p56, Funding Provided to Post-Secondary Institutions table, Operating Grants 2017 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2186.452791,postsec,grants,162716.592000,FLE,final,department_programs_2014_2021,fle_2015_2016,13437.184030,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,Keyano College: LERS had a significant decrease in enrolments at Keyano College due to wildfires.
postsec_grants_2017_ar2018,postsec_operating_grants,2017,2017-18,2372.439000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2017,ae_ar_2018,"PDF p117, Funding Provided to Post-Secondary Institutions table, Operating Grants 2018 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2196.190800,postsec,grants,163546.425000,FLE,final,department_programs_2014_2021,fle_2017,13428.546668,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,University of Alberta: The University of Alberta had a significant reporting change related to their thesis level graduate FLE enrolments. This change resulted in artificial FLE decreases to thesis enrolments compared to prior years.  
postsec_grants_2018_ar2019,postsec_operating_grants,2018,2018-19,2434.296000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2018,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2019 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2200.562031,postsec,grants,167765.251000,FLE,final,department_programs_2014_2021,fle_2018,13116.911984,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,Lethbridge College : Lethbridge College updated several program records to bring them into alignment with credit policies at their institution. This change resulted in significant FLE increases compared to prior years.
postsec_grants_2019_ar2019,postsec_operating_grants,2019,2019-20,2308.070000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2019_2020,ae_ar_2019,"PDF p79, Funding Provided to Post-Secondary Institutions table, Operating Grants 2020 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,2050.004871,postsec,grants,169301.627000,FLE,final,department_programs_2014_2021,fle_2019_2020,12108.595216,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,System: The Active learner definition was standardized leading to learners (and enrolments) previously excluded now being included in LERS submissions. The Active Learner definition was updated to ensure consistent reporting of enrolments as of the time of the add deadline date. | Southern Alberta Institute of Technology: Reporting cleanup at SAIT resulted in learners taking courses from a program without enrolling in the program properly being reported in Open Studies (prior years allocated learners to the program the courses belonged to).
postsec_grants_2020_ar2021,postsec_operating_grants,2020,2020-21,2162.768000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2019_2020,ae_ar_2021,"PDF p80, Funding Provided to Post-Secondary Institutions table, Operating Grants 2021 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1899.708451,postsec,grants,172486.024000,FLE,final,department_programs_2014_2021,fle_2019_2020,11013.694945,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,
postsec_grants_2021_ar2022,postsec_operating_grants,2021,2021-22,2029.040000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2014_2021|fle_2021,ae_ar_2022,"PDF p75, Funding Provided to Post-Secondary Institutions table, Operating Grants 2022 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1727.334119,postsec,grants,176694.199000,FLE,final,department_programs_2014_2021,fle_2021,9775.839439,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,"Athabasca University: Athabasca University shifted from reporting by effective program students to program students. Previously, learners were reported in Open Studies until after they had taken at least six credits toward their program (i.e., effective program students).Beginning with 2021-2022 learners are reported in the programs they enroll in, irrespective of the credits taken. This change will reduce enrolments reported in open studies and increase those in each program. | Mount Royal University: Mount Royal University moved from a July-June reporting year to May-April.  To ensure consistent 12 month reporting, the spring session from the 2020-21 submission was re-reported in the 2021-22 LERS submission. | Northern Alberta Institute of Technology: Northern Alberta Institute of Technology moved from a July-June reporting year to May-April.  To ensure consistent 12 month reporting, the spring session from the 2020-21 submission was re-reported in the 2021-22 LERS submission. | Southern Alberta Institute of Technology: Southern Alberta Institute of Technology moved from a July-June reporting year to May-April.  To ensure consistent 12 month reporting, the spring session from the 2020-21 submission was re-reported in the 2021-22 LERS submission. | Red Deer Polytechnic: In July 2021, Red Deer College was renamed Red Deer Polytechnic and moved from the CCC sector to the Poly Sector.  For longitudinal reporting purposes, all historical data is presented using  the new name and sector allocation.  | Mount Royal University: Mount Royal University updated its LERS Academic Year to align with Fiscal Reporting for 2021-22 forward.  To ensure consistent reporting, the 2021 spring session has been reported in both the 2020-21 and 2021-22 academic years. | Northern Alberta Institute of Technology: Northern Alberta Institute of Technology updated its LERS Academic Year to align with Fiscal Reporting for 2021-22 forward.  To ensure consistent reporting, the 2021 spring session has been reported in both the 2020-21 and 2021-22 academic years. | Portage College: In 2021-22 and 2022-23, Portage College includes enrolments related to public-private partnership agreements. The inclusion of these enrolments result in significant increases in both FLE and learners reported in these years.  With the college teaching out these programs, it is expected that these enrolments will decline over the next year. | Southern Alberta Institute of Technology: Southern Alberta Institute of Technology updated its LERS Academic Year to align with Fiscal Reporting for 2021-22 forward.  To ensure consistent reporting, the 2021 spring session has been reported in both the 2020-21 and 2021-22 academic years."
postsec_grants_2022_ar2023,postsec_operating_grants,2022,2022-23,1950.820000,actual,not_applicable,alberta_public20_excluding_banff,department_programs_2022_onward|fle_2022,ae_ar_2023,"PDF p121, Funding Provided to Post-Secondary Institutions table, Operating Grants 2023 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1560.410459,postsec,grants,184886.788000,FLE,final,department_programs_2022_onward,fle_2022,8439.815934,,postsec_public20_approved_fle,alberta_lers_fle_2024_25,"Northwestern Polytechnic: In 2022-23, Grande Prairie Regional College updated its name to Northwestern Polytechnic and moved from the CCC sector to the Poly Sector. For longitudinal reporting purposes, all historical data is presented using  the new name and sector allocation.  | Northwestern Polytechnic: Northwestern Polytechnic has updated its LERS reporting period to align with its updated fiscal year for 2022-23 forward. This resulted in their LERS reporting year moving from July 1st to June 30th to a May 1st to April 30th reporting period. As a result, Spring 2022 enrolments have been reported in both 2021‐22 and 2022‐23 LERS reporting periods. Due to this change, caution should be used for longitudinal analysis. | Lakeland College: Lakeland College has updated its LERS reporting period to align with its updated fiscal year for 2022-23 forward. This resulted in their LERS reporting year moving from July 1st to June 30th to a May 1st to April 30th reporting period. As a result, Spring 2022 enrolments have been reported in both 2021‐22 and 2022‐23 LERS reporting periods. Due to this change, caution should be used for longitudinal analysis."
postsec_grants_2023_ar2024,postsec_operating_grants,2023,2023-24,2010.490000,actual,not_applicable,alberta_public20_excluding_banff,,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2024 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1557.180250,postsec,grants,199595.905000,FLE,final,department_programs_2022_onward,fle_2023_ineligible,,"Keyano College: The significant increase in enrolments at Keyano College can be attributed the college's continuous efforts in international student recruitment. | Lakeland College: Lakeland College changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting. | Lethbridge College: Lethbridge College will become Lethbridge Polytechnic in the 2024-25 academic year. As all data in these tables precedes this change, the changes will not appear in this file. | NorQuest College: In 2022-23, NorQuest College incorrectly reported learners from Ukraine that have expedited visas with a “Permanent Resident” Legal Status; this over‐reported the number of domestic learners by around 500 learners among English as a Second Language programming. For 2023‐24 reporting and future reporting, these learners were coded as “Other Visa”. | Northwestern Polytechnic: Northwestern Polytechnic changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting forward. | Portage College: Portage College is in the process of teaching out programming that is being offered through partnerships with two private institutions. The significant drop in international learners at the college is a result of these offerings being taught out over the year. | University of Calgary: In 2023-24, the University of Calgary moved course-based graduate students to term based registration (previously an annual registration). In order to ensure accurate reporting to correctly reflect this change in our enrolment policy, a review of program records in PAPRS was completed. Changes included full load updates, administrative updates and PAPRS corrections. The adjustments resulted in an increase in FLEs in a number of programs where the FLE counts were previously underreported. | University of Alberta: Graduate level thesis FLE at the University of Alberta continues to be over reported in the 2023-24 submission. The U of A has committed to ensuring this is resolved in time for the 2024-25 LERS submission.",postsec_public20_approved_fle,alberta_lers_fle_2024_25,"Keyano College: The significant increase in enrolments at Keyano College can be attributed the college's continuous efforts in international student recruitment. | Lakeland College: Lakeland College changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting. | Lethbridge College: Lethbridge College will become Lethbridge Polytechnic in the 2024-25 academic year. As all data in these tables precedes this change, the changes will not appear in this file. | NorQuest College: In 2022-23, NorQuest College incorrectly reported learners from Ukraine that have expedited visas with a “Permanent Resident” Legal Status; this over‐reported the number of domestic learners by around 500 learners among English as a Second Language programming. For 2023‐24 reporting and future reporting, these learners were coded as “Other Visa”. | Northwestern Polytechnic: Northwestern Polytechnic changed its LERS reporting period to align with its updated fiscal year in 2022-23. As a result, the institution shifted from a 4-session to a 3-session reporting structure for 2023-24 LERS reporting forward. | Portage College: Portage College is in the process of teaching out programming that is being offered through partnerships with two private institutions. The significant drop in international learners at the college is a result of these offerings being taught out over the year. | University of Calgary: In 2023-24, the University of Calgary moved course-based graduate students to term based registration (previously an annual registration). In order to ensure accurate reporting to correctly reflect this change in our enrolment policy, a review of program records in PAPRS was completed. Changes included full load updates, administrative updates and PAPRS corrections. The adjustments resulted in an increase in FLEs in a number of programs where the FLE counts were previously underreported. | University of Alberta: Graduate level thesis FLE at the University of Alberta continues to be over reported in the 2023-24 submission. The U of A has committed to ensuring this is resolved in time for the 2024-25 LERS submission."
postsec_grants_2024_ar2024,postsec_operating_grants,2024,2024-25,2085.226000,actual,not_applicable,alberta_public20_excluding_banff,,ae_ar_2024,"PDF p104, Funding Provided to Post-Secondary Institutions table, Operating Grants 2025 column, Total Public Post-Secondary Institutions minus Banff Centre; 20 institution rows reconcile within CAD2000 table rounding",True,1569.166516,postsec,grants,211942.139000,FLE,final,department_programs_2022_onward,fle_2024_ineligible,,"Athabasca University: Athabasca University updated their LERS reporting period from a calendar year to a May through April reporting period (to align with other post-secondary reporting). To ensure no enrolments went unreported, this reporting change resulted in the university having to report one additional session in the transition year (January 2024 – April 2025). Therefore, this transition year has created an artificial increase to the institutional, sector and system enrolments. The inclusion of the ""extra"" Spring 2024 session adds an additional 3,200 FLE and 7,500 learners to what the university would have reported during the 12-month period. This is a one-year anomaly to ensure no enrolments went unreported and future LERS reporting cycles will follow the May – April reporting period. | Lethbridge Polytechnic: Lethbridge College became Lethbridge Polytechnic in the 2024/25 academic year, moving from the CCC sector to the POLY sector. To ensure longitudinal analysis, all reporting will use the new name and sector allocation. | Makami College: MaKami College first reported LERS enrolments in 2024/25 and the inclusion of their enrolment data will impact longitudinal analysis at the IAI sector and system level, as both these totals will show increases of around 1,700 FLE and learners due to MaKami College first reporting in 2024/25. | NorQuest College: NorQuest College updated their LERS Academic Year to align with Fiscal Reporting for 2024-25 forward.  To ensure consistent reporting, the 2024 spring session has been reported in both the 2023-24 and 2024-25 academic years. | University of Alberta: University of Alberta worked to update their thesis program records in 2024/25 (correcting the issue of over-reporting FLE), which resulted in a slight drop in FLEs among Graduate programs. Along with this change, the University of Alberta began to report course and thesis based graduate programming separately.",postsec_public20_approved_fle,alberta_lers_fle_2024_25,"Athabasca University: Athabasca University updated their LERS reporting period from a calendar year to a May through April reporting period (to align with other post-secondary reporting). To ensure no enrolments went unreported, this reporting change resulted in the university having to report one additional session in the transition year (January 2024 – April 2025). Therefore, this transition year has created an artificial increase to the institutional, sector and system enrolments. The inclusion of the ""extra"" Spring 2024 session adds an additional 3,200 FLE and 7,500 learners to what the university would have reported during the 12-month period. This is a one-year anomaly to ensure no enrolments went unreported and future LERS reporting cycles will follow the May – April reporting period. | Lethbridge Polytechnic: Lethbridge College became Lethbridge Polytechnic in the 2024/25 academic year, moving from the CCC sector to the POLY sector. To ensure longitudinal analysis, all reporting will use the new name and sector allocation. | Makami College: MaKami College first reported LERS enrolments in 2024/25 and the inclusion of their enrolment data will impact longitudinal analysis at the IAI sector and system level, as both these totals will show increases of around 1,700 FLE and learners due to MaKami College first reporting in 2024/25. | NorQuest College: NorQuest College updated their LERS Academic Year to align with Fiscal Reporting for 2024-25 forward.  To ensure consistent reporting, the 2024 spring session has been reported in both the 2023-24 and 2024-25 academic years. | University of Alberta: University of Alberta worked to update their thesis program records in 2024/25 (correcting the issue of over-reporting FLE), which resulted in a slight drop in FLEs among Graduate programs. Along with this change, the University of Alberta began to report course and thesis based graduate programming separately."
postsec_ug3_expenses_2023,postsec_operating_expenses,2023,2023-24,502.428000,actual,not_applicable,postsec_undergrad3,ug3_fiscal_2023_2024|ug3_fiscal_2023_2024,postsec_ug3_2024_25_financials,Components in undergraduate3_expense_components.csv; sum all 3 expense totals less tangible/intangible amortization and separately identified capital disposal loss,True,389.144417,postsec,expenses,26056.497000,FLE,final,ug3_fiscal_2023_2024,ug3_fiscal_2023_2024,14934.640555,,postsec_undergrad3_fle,alberta_lers_fle_2024_25,"Same 3 institutions as expense numerator. 12-month institutional fiscal periods; MRU/MacEwan end March 31 and AUArts June 30. Academic-year cycles align by start-year label, not exact month. These 3 have no 2023/2024 reporting-change entries in current LERS workbook."
postsec_ug3_expenses_2024,postsec_operating_expenses,2024,2024-25,540.755000,actual,not_applicable,postsec_undergrad3,ug3_fiscal_2023_2024|ug3_fiscal_2023_2024,postsec_ug3_2024_25_financials,Components in undergraduate3_expense_components.csv; sum all 3 expense totals less tangible/intangible amortization and separately identified capital disposal loss,True,406.926942,postsec,expenses,27463.219000,FLE,final,ug3_fiscal_2023_2024,ug3_fiscal_2023_2024,14817.161163,,postsec_undergrad3_fle,alberta_lers_fle_2024_25,"Same 3 institutions as expense numerator. 12-month institutional fiscal periods; MRU/MacEwan end March 31 and AUArts June 30. Academic-year cycles align by start-year label, not exact month. These 3 have no 2023/2024 reporting-change entries in current LERS workbook."
