year,period,institution,sector,fle,public20,source_id,locator
2018,2018-2019,St. Mary's University,Independent Academic Institutions,782.15,False,alberta_lers_fle_2024_25,By Sector and Institution!E113
2018,2018-2019,Lethbridge Polytechnic,Polytechnic Institutions,4603.49,True,alberta_lers_fle_2024_25,By Sector and Institution!E115
2018,2018-2019,Northern Alberta Institute of Technology,Polytechnic Institutions,13382.021,True,alberta_lers_fle_2024_25,By Sector and Institution!E116
2018,2018-2019,Northwestern Polytechnic,Polytechnic Institutions,1694.432,True,alberta_lers_fle_2024_25,By Sector and Institution!E117
2018,2018-2019,Red Deer Polytechnic,Polytechnic Institutions,3724.472,True,alberta_lers_fle_2024_25,By Sector and Institution!E118
2018,2018-2019,Southern Alberta Institute of Technology,Polytechnic Institutions,13716.606,True,alberta_lers_fle_2024_25,By Sector and Institution!E119
2018,2018-2019,Alberta University of the Arts,Undergraduate Universities,862.95,True,alberta_lers_fle_2024_25,By Sector and Institution!E121
2018,2018-2019,Grant MacEwan University,Undergraduate Universities,12750.922,True,alberta_lers_fle_2024_25,By Sector and Institution!E122
2018,2018-2019,Mount Royal University,Undergraduate Universities,10112.232,True,alberta_lers_fle_2024_25,By Sector and Institution!E123
2019,2019-2020,Athabasca University,Comprehensive Academic and Research Universities,9716.858,True,alberta_lers_fle_2024_25,By Sector and Institution!E126
2019,2019-2020,University of Alberta,Comprehensive Academic and Research Universities,36915.489,True,alberta_lers_fle_2024_25,By Sector and Institution!E127
2019,2019-2020,University of Calgary,Comprehensive Academic and Research Universities,31024.3,True,alberta_lers_fle_2024_25,By Sector and Institution!E128
2019,2019-2020,University of Lethbridge,Comprehensive Academic and Research Universities,7171.594,True,alberta_lers_fle_2024_25,By Sector and Institution!E129
2019,2019-2020,Bow Valley College,Comprehensive Community Colleges,8318.123,True,alberta_lers_fle_2024_25,By Sector and Institution!E131
2019,2019-2020,Keyano College,Comprehensive Community Colleges,1112.533,True,alberta_lers_fle_2024_25,By Sector and Institution!E132
2019,2019-2020,Lakeland College,Comprehensive Community Colleges,2032.416,True,alberta_lers_fle_2024_25,By Sector and Institution!E133
2019,2019-2020,Medicine Hat College,Comprehensive Community Colleges,1945.037,True,alberta_lers_fle_2024_25,By Sector and Institution!E134
2019,2019-2020,NorQuest College,Comprehensive Community Colleges,7692.375,True,alberta_lers_fle_2024_25,By Sector and Institution!E135
2019,2019-2020,Northern Lakes College,Comprehensive Community Colleges,1269.81,True,alberta_lers_fle_2024_25,By Sector and Institution!E136
2019,2019-2020,Olds College,Comprehensive Community Colleges,1357.916,True,alberta_lers_fle_2024_25,By Sector and Institution!E137
2019,2019-2020,Portage College,Comprehensive Community Colleges,911.931,True,alberta_lers_fle_2024_25,By Sector and Institution!E138
2019,2019-2020,Ambrose University,Independent Academic Institutions,473.417,False,alberta_lers_fle_2024_25,By Sector and Institution!E140
2019,2019-2020,Burman University,Independent Academic Institutions,416.705,False,alberta_lers_fle_2024_25,By Sector and Institution!E141
2019,2019-2020,Concordia University of Edmonton,Independent Academic Institutions,2340.504,False,alberta_lers_fle_2024_25,By Sector and Institution!E142
2019,2019-2020,"King's University, The",Independent Academic Institutions,688.761,False,alberta_lers_fle_2024_25,By Sector and Institution!E143
2019,2019-2020,St. Mary's University,Independent Academic Institutions,827.5,False,alberta_lers_fle_2024_25,By Sector and Institution!E144
2019,2019-2020,Lethbridge Polytechnic,Polytechnic Institutions,4746.042,True,alberta_lers_fle_2024_25,By Sector and Institution!E146
2019,2019-2020,Northern Alberta Institute of Technology,Polytechnic Institutions,12601.065,True,alberta_lers_fle_2024_25,By Sector and Institution!E147
2019,2019-2020,Northwestern Polytechnic,Polytechnic Institutions,1669.132,True,alberta_lers_fle_2024_25,By Sector and Institution!E148
2019,2019-2020,Red Deer Polytechnic,Polytechnic Institutions,3633.885,True,alberta_lers_fle_2024_25,By Sector and Institution!E149
